filename,Source,Accuracy on Original,Number of Permuted Images,Mean Accuracy (Permuted),Min Accuracy (Permuted),Max Accuracy (Permuted),Observations on Permuted,Estimated Value Add of Curation
a7bc73d453fa0e17f7b72192cb57f8b88d640c1c2ae910696705ee91bd72b0e6.jpeg,Firefly,0.896,12,0.903,0.81,0.974,1706,0.007
501f1f9992f910d097c56b82b13e55b00bae418e7c527a1764f2acfd283f39d4.jpeg,Firefly,0.595,12,0.685,0.497,0.841,1755,0.09
50e4ccb0e4859a4b40b5eb7f3b233235c56a8f48b36800db16d094e2a20c978e.jpeg,Firefly,0.491,12,0.844,0.712,0.976,1734,0.353
e17ae3dc3228f343f5e445e0c2b80b28f39669a71155c9b031f53e4c96bfc4be.jpeg,Firefly,0.856,12,0.931,0.897,0.979,1725,0.075
2aee09d253a4606d2b5b4a630fbd6b834074ae2a91a3dd28e361eb8dadafad24.jpeg,Firefly,0.669,12,0.778,0.604,0.879,1831,0.109
2c4c0b171577884f5c0991cacb5c5ebc.jpeg,Stable Diffusion,0.383,22,0.768,0.654,0.903,3336,0.385
e954a8a31de9ea325f6fc7bc7d0625616c24cf6f22da64264f167702fd8cd0e0.jpeg,Firefly,0.56,12,0.696,0.559,0.871,1729,0.136
f84a79e62e6e309deacda28d64ded163.jpeg,Firefly,0.398,16,0.565,0.322,0.822,2369,0.167
1c5a36da63d77c6a529d14f6ede897e28406569e3e471361f4282d10a1c7442b.jpeg,Firefly,0.527,12,0.935,0.83,1.0,1829,0.408
48e1246a9425640df00bf3390b46d4881e5a6880d2efdb51713f8dac970079c8.jpeg,Firefly,0.654,12,0.917,0.851,0.986,1796,0.263
ac2a72c405bced22a85f5db5d6bfc7f2d7a98ebc924249ec2e6a5fbb4e82e5ae.jpeg,Firefly,0.532,12,0.887,0.759,0.982,1740,0.355
0bce6c35c24ec5ce8ae8ad5bb4f67d59.jpeg,Stable Diffusion,0.365,11,0.584,0.425,0.826,1659,0.219
e2ded59d99ef59549385bb813cc9c8f810cd6623d61490b111e52714829f41d1.jpeg,Firefly,0.883,12,0.882,0.799,0.98,1768,-0.001
daab510ce577421c45ef147f643173f1e7018888813515d82520778e8e789ab1.jpeg,Firefly,0.684,12,0.81,0.615,0.917,1775,0.126
def72dae66f159aba9995ef11436ae6184205d851f75cb69691cc815a471bd20.jpeg,Firefly,0.654,12,0.865,0.774,0.94,1821,0.211
55bf29fb606f25f6640805738772d4e04497c0154f8946f458cfc92c26e1cc63.jpeg,Firefly,0.465,12,0.826,0.719,0.921,1782,0.361
bcd62a29647bf78c402710ba7a9683f9bc8b064187b6643e6ff86fdcc32c2bd2.jpeg,Firefly,0.397,24,0.768,0.538,0.943,3501,0.371
2ddf7a07da956c375d9d512cf876bd871f5a3150db7b68b7ef25c1c91a694238.jpeg,Firefly,0.921,13,0.898,0.793,0.964,1999,-0.023
de82a486d361d29d463892ba3776cdb684f09e7c255f5629a2479cbf7b0d997f.jpeg,Firefly,0.89,12,0.961,0.906,0.994,1808,0.071
bd38e3b314f1e8f737cca898e67f4c819e7e4f7ddbd3ae5734842d07af98eae2.jpeg,Firefly,0.596,12,0.943,0.881,0.987,1807,0.347
0b5612ff0d9c8f99f74e8c9d508b27ee.jpeg,MidJourney,0.716,12,0.714,0.62,0.802,2509,-0.002
0e65a4e5adc50344a43ffbd1f9ff84ea.jpeg,MidJourney,0.766,12,0.843,0.672,0.94,2474,0.077
4ca91e737979369e37478c4f4ec6e84e.jpeg,MidJourney,0.449,12,0.73,0.47,0.929,2484,0.281
4d23416a599751a846ef50398a9a40d3.jpeg,Stable Diffusion,0.624,12,0.728,0.638,0.803,2560,0.104
4f3f845047351e1e499f6fe14f5ee746.jpeg,Stable Diffusion,0.61,12,0.738,0.572,0.847,4348,0.128
4f3f845047351e1e499f6fe14f5ee746.jpeg,Stable Diffusion,0.61,12,0.738,0.572,0.847,4348,0.128
5c7ece5c8c2a157ff5acd384f64a567d.jpeg,MidJourney,0.62,12,0.622,0.492,0.886,2559,0.002
76af9c56f4a8bd175ec95009c85cc055.jpeg,Stable Diffusion,0.521,12,0.692,0.51,0.913,2474,0.171
84afad8071fc00f7c4c00246bc3589c1.jpeg,MidJourney,0.689,12,0.582,0.416,0.714,2523,-0.107
86ae36214222e367f9bc162308095ada.jpeg,MidJourney,0.735,12,0.894,0.763,0.983,2501,0.159
191af80c473c7d21b78525c9a850414e.jpeg,MidJourney,0.528,12,0.647,0.46,0.865,2499,0.119
351d5c8f178262436d098691ce2a0632.jpeg,Stable Diffusion,0.569,12,0.811,0.663,0.917,2476,0.242
8059c316907c586bdf33ad3cb9ca3f95.jpeg,Stable Diffusion,0.5,12,0.702,0.571,0.841,2499,0.202
13830cc00959d97a3e49f39fee56005d.jpeg,Stable Diffusion,0.651,11,0.807,0.697,0.928,2424,0.156
53805809adf9a3d8d0d33c71253fe7eb.jpeg,Stable Diffusion,0.599,14,0.768,0.651,0.866,2737,0.169
c16b470eb027c3d14f43f3c2887d7913.jpeg,MidJourney,0.805,12,0.899,0.777,0.981,2496,0.094
Cec0c6c2bc54b29308b26564a4307373.jpeg,Unknown,,12,0.908,0.688,0.981,2495,
eb38e89f02ac0fda250439f78e26eae6.jpeg,Stable Diffusion,0.574,12,0.577,0.415,0.763,2503,0.003
f83eb225bdeaba34d5fa83d0a756d13b.jpeg,Stable Diffusion,0.648,12,0.766,0.609,0.886,2461,0.118
